"date","close","volume","open","high","low"
"2016/11/28","108.4500","2448555.0000","108.5000","108.9800","108.2900"
"2016/11/25","108.7800","1008723.0000","108.6300","109.2000","108.2900"
"2016/11/23","108.1100","2378630.0000","107.3700","108.2800","107.3700"
"2016/11/22","106.9400","2640683.0000","107.2100","107.3300","106.8700"
"2016/11/21","106.8500","2177429.0000","106.8500","107.0646","106.2100"
"2016/11/18","106.5000","2677456.0000","106.6600","106.9600","106.3700"
"2016/11/17","106.7000","2222825.0000","107.0300","107.4397","106.6100"
"2016/11/16","106.9600","2707333.0000","106.6200","107.3800","106.3500"
"2016/11/15","107.6800","3795369.0000","107.8500","108.0200","106.6600"
"2016/11/14","107.8600","4138518.0000","109.4200","109.4200","107.7275"
"2016/11/11","108.8600","4149861.0000","107.9000","108.9200","107.0000"
"2016/11/10","108.4100","6101851.0000","105.3800","108.4600","105.3400"
"2016/11/09","104.8100","5003877.0000","101.0900","105.2900","101.0900"
"2016/11/08","103.3700","2524464.0000","103.2300","103.9200","102.6200"
"2016/11/07","103.0500","4226206.0000","102.9700","103.3400","102.5100"
"2016/11/04","101.3300","2607729.0000","101.2400","101.7700","100.7400"
"2016/11/03","101.0500","2444223.0000","101.8000","101.9100","100.7200"
"2016/11/02","101.5400","4115453.0000","101.8500","102.5600","101.1600"
"2016/11/01","102.0100","4044502.0000","102.4100","102.9200","101.3000"
"2016/10/31","102.2000","4014477.0000","102.0100","102.6000","101.9000"
"2016/10/28","101.8400","4449945.0000","100.5200","102.1400","100.5200"
"2016/10/27","100.0700","3548716.0000","101.4800","101.6200","99.9900"
"2016/10/26","101.0100","3734107.0000","101.0000","101.8200","100.7500"
"2016/10/25","101.3600","6752210.0000","101.1100","102.1000","100.4600"
"2016/10/24","99.5200","4287658.0000","99.3400","99.8600","99.0800"
"2016/10/21","98.6700","4093972.0000","98.3800","98.7800","97.6200"
"2016/10/20","99.2900","3876582.0000","99.7500","100.1800","99.2700"
"2016/10/19","99.7600","4014029.0000","100.2600","100.4300","99.7400"
"2016/10/18","99.9900","3043815.0000","100.4900","100.5800","99.6800"
"2016/10/17","99.7100","2452355.0000","100.1300","100.4406","99.6500"
"2016/10/14","100.1600","3172007.0000","100.4200","100.7900","100.0700"
"2016/10/13","99.8500","3767882.0000","98.4000","100.0850","98.1500"
"2016/10/12","98.9300","3816668.0000","98.8100","99.2500","98.5350"
"2016/10/11","98.7700","4314721.0000","99.5500","99.8700","98.4600"
"2016/10/10","99.9800","4517801.0000","100.1600","101.0300","99.6400"
"2016/10/07","100.5800","3938203.0000","100.9600","101.0100","99.8100"
"2016/10/06","102.0800","3651513.0000","102.1100","102.2200","101.3600"
"2016/10/05","102.2500","2744070.0000","101.7000","102.3300","101.4300"
"2016/10/04","101.4300","3204196.0000","102.5700","102.8100","101.3000"
"2016/10/03","102.4300","3971655.0000","101.6000","102.6700","101.2900"
"2016/09/30","101.6000","5053486.0000","101.4200","102.0300","101.0600"
"2016/09/29","101.0600","3719639.0000","102.7800","102.7800","100.8800"
"2016/09/28","102.3500","5010726.0000","102.6800","102.8700","101.6700"
"2016/09/27","102.3500","4299266.0000","102.0800","102.7300","101.7800"
"2016/09/26","102.2300","3354625.0000","102.1600","102.9600","101.7800"
"2016/09/23","102.5600","2646428.0000","102.1000","102.9993","101.9100"
"2016/09/22","103.0000","3574574.0000","102.7300","103.4800","102.6200"
"2016/09/21","101.9600","3144778.0000","100.6500","102.0800","100.4700"
"2016/09/20","100.2400","3110606.0000","100.7720","101.5000","100.2400"
"2016/09/19","100.4400","3316129.0000","100.5000","101.1797","100.2300"
"2016/09/16","100.1000","7724216.0000","102.5700","102.5700","99.8500"
"2016/09/15","102.7100","3158944.0000","101.4400","102.9100","101.2600"
"2016/09/14","101.6600","4092204.0000","102.1900","102.8600","101.4400"
"2016/09/13","102.3200","3543276.0000","103.0700","103.3500","102.0500"
"2016/09/12","104.0300","3851781.0000","102.2000","104.3500","101.8900"
"2016/09/09","102.6800","4253081.0000","105.0000","105.1000","102.6700"
"2016/09/08","105.7500","2809789.0000","105.6100","106.1599","105.5200"
"2016/09/07","105.8500","2524173.0000","105.7200","106.2900","105.2900"
